Title,Link,Description,Stars
supernoter/noter,https://github.com/supernoter/noter,"Note taking application, LLM enhanced.",5
kabirkam/AI-Memorybank,https://github.com/kabirkam/AI-Memorybank,Note taking application powered by Artificial inteligence,1
yeabnoah/Hope-ai-powered-note-taking-app-,https://github.com/yeabnoah/Hope-ai-powered-note-taking-app-,"an ai powered text and voice note taking app build with dart and typescript, flutter for the mobile app and express for the backend api's",4
SuperKabman/audioNote,https://github.com/SuperKabman/audioNote,AI enabled notes taking app,3
alangrainger/obsidian-air-quotes,https://github.com/alangrainger/obsidian-air-quotes,Plugin for Obsidian. Search and insert quotes from a source text as you type. This is great for reading a physical book or eReader while t…,49
appledore-dev/notes,https://github.com/appledore-dev/notes,Simple note - taking app with writing AI assistant,4
kapinote/chrome-app,https://github.com/kapinote/chrome-app,"KapiNote is an AI note - taking tool that combines AI technology to provide a variety of note - taking features, making your writing process …",3
yuna0x0/hackmd-mcp,https://github.com/yuna0x0/hackmd-mcp,A Model Context Protocol server for integrating HackMD's note - taking platform with AI assistants.,14
kothavade/LectureAI,https://github.com/kothavade/LectureAI,An AI powered tool for quickly reviewing and taking notes on lectures.,6
ChadMCasey/NoteFlow,https://github.com/ChadMCasey/NoteFlow,NoteFlow is a landing page design for a SaaS company offering a AI -powered note taking application.,6
HarveyPy-1/AI-chatbot-nextjs-openAI,https://github.com/HarveyPy-1/AI-chatbot-nextjs-openAI,A simple note taking app with a twist. Interact with your notes using AI,4
solaoi/lycoris,https://github.com/solaoi/lycoris,"Real-time speech recognition & AI -powered note - taking app for macOS with offline/online modes, multilingual transcription, and Japanese t…",31
Imanm02/LectureNote-ChormeExtension,https://github.com/Imanm02/LectureNote-ChormeExtension,AI -powered Chrome plugin for efficient and focused lecture note - taking,5
astramieri/oci-ai-foundations,https://github.com/astramieri/oci-ai-foundations,Note - taking repository for OCI AI Foundations,3
zoyasiddiqui/NoteNinja,https://github.com/zoyasiddiqui/NoteNinja,A note - taking app with python code snippets and AI helpers.,3
nadelacruz/Note-Taking-App-CLI,https://github.com/nadelacruz/Note-Taking-App-CLI,"The Note Taking App is a powerful CLI for creating, modifying, and deleting notes . You can search by keyword, and generate summaries with…",3
Chamikajaya/noted-the-ai-powered-note-taking-app,https://github.com/Chamikajaya/noted-the-ai-powered-note-taking-app,AI -powered note - taking assistant . Utilizes OpenAI's API to offer intelligent responses based on stored notes . Seamlessly integrates with…,2
Uliana200407/AimList-with-tools,https://github.com/Uliana200407/AimList-with-tools,"Let me introduce you my AimList app, which includes features for drawing, timing, and note - taking .",5
